Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1565654400000,11398.35000000,11400.31000000,11388.42000000,11391.48000000,4.09981800,1565654459999,46714.82249704,147,2.80322600,31944.25469680,0
1565654460000,11388.62000000,11395.75000000,11385.00000000,11393.23000000,2.47402600,1565654519999,28177.17699702,106,1.39641800,15905.83757383,0
1565654520000,11393.17000000,11393.63000000,11388.46000000,11388.48000000,3.52564000,1565654579999,40163.90479973,92,2.76072600,31450.19853929,0
1565654580000,11388.70000000,11393.63000000,11388.70000000,11392.00000000,3.01715300,1565654639999,34369.54476784,91,1.56146300,17788.03748337,0
1565654640000,11392.61000000,11392.61000000,11385.11000000,11388.04000000,6.00572300,1565654699999,68396.18800511,141,2.23601400,25468.74537236,0
1565654700000,11385.12000000,11391.17000000,11382.22000000,11386.19000000,7.94925700,1565654759999,90513.53633134,182,5.31900000,60568.35209511,0
1565654760000,11388.37000000,11388.37000000,11381.11000000,11386.52000000,2.04685100,1565654819999,23303.35279517,78,1.35942300,15477.24863572,0
1565654820000,11384.82000000,11389.75000000,11381.49000000,11384.49000000,14.11247200,1565654879999,160690.96230207,156,2.89671700,32983.46390511,0
1565654880000,11383.14000000,11386.50000000,11382.13000000,11383.04000000,2.17635600,1565654939999,24775.22605102,70,1.24141000,14132.20166560,0
1565654940000,11383.04000000,11385.57000000,11380.00000000,11381.59000000,7.64801700,1565654999999,87051.14641723,157,4.60712400,52443.13721328,0
1565655000000,11380.58000000,11388.00000000,11380.57000000,11384.61000000,4.48599200,1565655059999,51078.08428772,130,3.96231900,45117.18099436,0
1565655060000,11384.41000000,11387.79000000,11382.00000000,11382.00000000,3.90591800,1565655119999,44465.83993234,111,2.37996000,27094.50034927,0
1565655120000,11383.70000000,11384.46000000,11381.71000000,11384.45000000,4.29219600,1565655179999,48859.31814141,78,2.24607600,25569.68167787,0
1565655180000,11384.42000000,11392.30000000,11384.42000000,11389.94000000,9.98911300,1565655239999,113750.29161439,120,9.21332200,104918.10213814,0
1565655240000,11392.29000000,11392.30000000,11381.62000000,11383.92000000,5.21618900,1565655299999,59407.09252409,153,2.06076100,23471.08699259,0
1565655300000,11381.65000000,11391.99000000,11381.03000000,11386.59000000,19.29407300,1565655359999,219730.54248892,201,18.37672400,209285.69959245,0
1565655360000,11385.17000000,11386.27000000,11382.34000000,11383.30000000,5.21336400,1565655419999,59343.94516517,59,1.35081800,15378.72388523,0
1565655420000,11383.32000000,11386.26000000,11382.82000000,11385.41000000,4.51240800,1565655479999,51373.18368710,69,3.33157300,37929.51486785,0
1565655480000,11385.00000000,11386.25000000,11382.68000000,11385.69000000,4.75639900,1565655539999,54147.39007795,90,0.74360600,8466.10581996,0
1565655540000,11383.39000000,11385.61000000,11382.68000000,11383.04000000,2.48444700,1565655599999,28281.65738307,72,1.26636800,14416.61154697,0
1565655600000,11383.07000000,11384.52000000,11382.34000000,11382.34000000,17.48614400,1565655659999,199035.47068328,112,1.18593000,13499.03164123,0
1565655660000,11382.70000000,11382.70000000,11375.06000000,11376.58000000,116.32803300,1565655719999,1323857.98915419,368,7.03889100,80098.40551038,0
1565655720000,11376.15000000,11385.35000000,11375.09000000,11379.68000000,13.90825500,1565655779999,158281.04579556,220,8.62724700,98189.12633036,0
1565655780000,11380.76000000,11380.76000000,11368.00000000,11369.16000000,30.20679500,1565655839999,343582.84676467,364,7.70101400,87617.28261611,0
1565655840000,11369.16000000,11377.04000000,11355.99000000,11363.82000000,26.55307500,1565655899999,301768.88010541,644,9.19251100,104509.49930962,0
1565655900000,11363.80000000,11392.25000000,11360.60000000,11381.16000000,41.96063200,1565655959999,477368.95648936,714,30.29965600,344720.55139704,0
1565655960000,11387.35000000,11392.30000000,11379.29000000,11386.84000000,4.84424700,1565656019999,55159.66715061,248,2.73511500,31146.52113506,0
1565656020000,11386.83000000,11393.72000000,11378.95000000,11380.90000000,12.03435900,1565656079999,137050.19741461,204,6.56789200,74802.27293742,0
1565656080000,11386.77000000,11400.38000000,11382.04000000,11396.89000000,8.01440100,1565656139999,91306.50919936,172,3.31444900,37773.99632272,0
1565656140000,11396.84000000,11401.25000000,11390.78000000,11399.91000000,8.44957500,1565656199999,96310.32596190,171,6.29038300,71704.75774078,0
1565656200000,11398.90000000,11403.85000000,11395.01000000,11398.04000000,9.91091000,1565656259999,112985.39399279,187,1.29945800,14814.01446657,0
1565656260000,11398.04000000,11399.35000000,11389.05000000,11390.72000000,4.76370900,1565656319999,54282.82210907,137,1.42374900,16224.44024458,0
1565656320000,11389.06000000,11395.24000000,11388.60000000,11389.60000000,3.01998600,1565656379999,34403.77784090,86,2.37082200,27009.31563414,0
1565656380000,11388.60000000,11395.66000000,11388.60000000,11392.13000000,6.03115400,1565656439999,68701.71733018,98,4.03182200,45929.41239685,0
1565656440000,11393.13000000,11401.60000000,11393.12000000,11398.20000000,8.56363600,1565656499999,97604.04286648,114,5.11486300,58297.87190244,0
1565656500000,11399.82000000,11402.20000000,11396.49000000,11401.10000000,4.20160400,1565656559999,47897.16055325,85,3.64893500,41597.47257579,0
1565656560000,11401.10000000,11404.50000000,11398.47000000,11403.74000000,9.23736000,1565656619999,105315.60470412,108,7.12990600,81289.31150584,0
1565656620000,11404.50000000,11405.98000000,11400.07000000,11405.22000000,7.32566400,1565656679999,83545.53688967,168,5.09844900,58146.96154436,0
1565656680000,11405.50000000,11408.38000000,11404.19000000,11406.17000000,11.97853400,1565656739999,136625.79591471,96,5.61040900,63995.97015672,0
1565656740000,11406.34000000,11410.00000000,11406.21000000,11408.19000000,4.98704300,1565656799999,56893.62660062,93,3.50610700,40000.01021260,0
1565656800000,11409.24000000,11412.38000000,11404.28000000,11410.00000000,11.80748000,1565656859999,134715.69844184,151,8.63156200,98484.67088036,0
1565656860000,11411.25000000,11419.18000000,11410.00000000,11417.94000000,13.63396100,1565656919999,155619.96463509,210,5.90677400,67417.68138413,0
1565656920000,11416.89000000,11419.35000000,11406.00000000,11406.83000000,8.05068800,1565656979999,91867.93236905,179,3.38882300,38673.12322178,0
1565656980000,11407.54000000,11411.15000000,11407.46000000,11410.99000000,15.26757200,1565657039999,174200.92921456,104,7.94822500,90689.70186229,0
1565657040000,11409.97000000,11411.90000000,11408.83000000,11411.90000000,6.01642900,1565657099999,68650.48699135,68,4.17340300,47621.90015913,0
1565657100000,11409.66000000,11411.90000000,11408.06000000,11408.90000000,5.25453800,1565657159999,59956.06300626,81,1.48876800,16988.61671474,0
1565657160000,11408.93000000,11415.18000000,11408.93000000,11415.18000000,4.76406000,1565657219999,54369.22787628,84,3.07373300,35078.58429278,0
