Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1566518400000,10099.90000000,10101.12000000,10075.00000000,10075.74000000,87.10371400,1566518459999,878419.32030278,866,18.87639500,190453.04670141,0
1566518460000,10078.76000000,10084.33000000,10070.50000000,10078.69000000,18.60869300,1566518519999,187516.77036588,430,9.95562400,100325.44397585,0
1566518520000,10075.56000000,10078.49000000,10055.38000000,10068.99000000,99.36818900,1566518579999,999894.13586532,820,13.49709000,135870.97493039,0
1566518580000,10068.97000000,10079.00000000,10068.11000000,10073.73000000,17.84667300,1566518639999,179783.25867822,375,8.47872000,85422.29834886,0
1566518640000,10074.74000000,10074.74000000,10055.38000000,10056.34000000,22.44061900,1566518699999,225874.21920797,258,5.84655200,58844.28226528,0
1566518700000,10056.34000000,10066.88000000,10051.24000000,10061.87000000,23.83398000,1566518759999,239705.86191491,371,7.17681700,72210.45171959,0
1566518760000,10061.87000000,10064.84000000,10055.54000000,10060.25000000,12.01156900,1566518819999,120852.31644869,194,2.26412400,22778.82711735,0
1566518820000,10060.25000000,10068.14000000,10058.00000000,10067.16000000,16.73459800,1566518879999,168400.27536125,249,9.04753600,91065.35189972,0
1566518880000,10067.16000000,10068.14000000,10057.80000000,10059.91000000,16.03986400,1566518939999,161424.23837681,170,12.73887500,128204.36704493,0
1566518940000,10057.80000000,10059.97000000,10029.56000000,10052.52000000,104.97265500,1566518999999,1054389.33900034,848,39.19823300,393690.64563073,0
1566519000000,10052.52000000,10056.83000000,10040.10000000,10043.35000000,23.50044900,1566519059999,236128.91577926,332,8.23815900,82765.45031081,0
1566519060000,10043.26000000,10050.00000000,10034.49000000,10040.00000000,44.21676800,1566519119999,443991.76321805,522,30.46290200,305872.91193657,0
1566519120000,10040.00000000,10064.37000000,10037.00000000,10061.00000000,43.71898300,1566519179999,439416.12974499,489,37.27797100,374665.77432595,0
1566519180000,10062.74000000,10064.37000000,10048.31000000,10051.73000000,6.62432700,1566519239999,66622.16037241,197,4.17927300,42032.41372992,0
1566519240000,10051.73000000,10061.13000000,10049.43000000,10058.78000000,10.29320100,1566519299999,103520.13864011,166,8.09291900,81391.38755882,0
1566519300000,10059.91000000,10071.34000000,10058.78000000,10069.19000000,30.14086700,1566519359999,303417.22114303,351,28.16083000,283483.70784621,0
1566519360000,10069.19000000,10071.34000000,10063.32000000,10064.72000000,9.91124100,1566519419999,99792.94584294,160,6.74943400,67961.54429455,0
1566519420000,10064.74000000,10071.34000000,10063.05000000,10071.33000000,19.98343400,1566519479999,201211.81880481,179,14.89309300,149971.15340011,0
1566519480000,10071.34000000,10079.00000000,10071.34000000,10079.00000000,21.27847700,1566519539999,214382.18489188,172,17.17740000,173053.33406445,0
1566519540000,10077.57000000,10079.00000000,10060.85000000,10071.31000000,31.42975600,1566519599999,316497.14901597,291,9.88675400,99555.68342989,0
1566519600000,10070.94000000,10075.45000000,10058.28000000,10060.20000000,17.68253100,1566519659999,177976.62067120,249,12.27438400,123544.88276097,0
1566519660000,10060.27000000,10062.81000000,10050.31000000,10052.35000000,12.90310400,1566519719999,129741.52190929,215,8.52900600,85761.64478713,0
1566519720000,10052.85000000,10058.08000000,10041.02000000,10055.43000000,19.19628200,1566519779999,192899.88955466,382,10.25003200,103005.53497418,0
1566519780000,10058.07000000,10058.07000000,10042.47000000,10048.08000000,13.17237400,1566519839999,132385.26312893,241,5.73964500,57693.66983596,0
1566519840000,10046.17000000,10053.41000000,10041.64000000,10046.70000000,8.38437100,1566519899999,84242.61888807,197,4.84308900,48657.67810993,0
1566519900000,10046.68000000,10057.14000000,10045.05000000,10057.14000000,16.38484700,1566519959999,164680.93867217,173,12.34930800,124123.59981088,0
1566519960000,10055.65000000,10061.91000000,10051.02000000,10053.33000000,20.88049800,1566520019999,209999.93075194,169,17.41661100,175164.37904325,0
1566520020000,10055.08000000,10055.76000000,10047.19000000,10055.64000000,22.68780300,1566520079999,228094.19629921,198,11.76046100,118252.19403527,0
1566520080000,10055.76000000,10062.06000000,10047.11000000,10049.78000000,22.92433800,1566520139999,230492.72068282,289,15.86893300,159550.86353251,0
1566520140000,10049.78000000,10049.78000000,10038.54000000,10039.76000000,16.39570500,1566520199999,164657.77520968,244,8.08034800,81153.57878069,0
1566520200000,10038.23000000,10044.88000000,10019.79000000,10043.42000000,89.91469800,1566520259999,901677.06752438,964,28.38474700,284786.36029447,0
1566520260000,10044.14000000,10070.00000000,10043.42000000,10063.19000000,50.48021000,1566520319999,507701.10158064,510,27.69881500,278619.92232056,0
1566520320000,10060.25000000,10066.01000000,10047.00000000,10060.67000000,21.41066400,1566520379999,215366.13141741,257,6.51406500,65522.92303824,0
1566520380000,10063.19000000,10068.18000000,10055.08000000,10060.49000000,9.72445600,1566520439999,97836.34415134,194,5.11052900,51416.00329392,0
1566520440000,10057.93000000,10070.87000000,10057.93000000,10069.42000000,15.64280500,1566520499999,157466.07120277,310,8.15481900,82097.89932362,0
1566520500000,10070.43000000,10074.73000000,10066.10000000,10071.51000000,14.84599000,1566520559999,149524.90150576,342,10.59907000,106755.23537341,0
1566520560000,10072.70000000,10074.74000000,10060.19000000,10060.19000000,19.39592700,1566520619999,195306.49481041,252,8.79087600,88524.57614627,0
1566520620000,10061.31000000,10070.99000000,10060.60000000,10068.61000000,8.42320200,1566520679999,84797.22185071,155,4.13437200,41625.48075989,0
1566520680000,10069.27000000,10070.00000000,10055.95000000,10059.86000000,16.48060700,1566520739999,165854.71451243,193,4.50304700,45315.52520769,0
1566520740000,10059.32000000,10070.00000000,10059.29000000,10066.98000000,6.46981500,1566520799999,65132.07934903,152,4.81135700,48436.09756484,0
1566520800000,10067.07000000,10077.77000000,10067.03000000,10076.75000000,24.17459600,1566520859999,243489.98528600,232,15.41914400,155306.61107229,0
1566520860000,10073.25000000,10077.35000000,10068.58000000,10071.78000000,10.34226300,1566520919999,104175.04793908,219,5.75241900,57948.02704735,0
1566520920000,10075.03000000,10077.35000000,10072.90000000,10074.73000000,5.56849600,1566520979999,56099.43589960,159,2.83792100,28592.44041586,0
1566520980000,10076.69000000,10084.86000000,10074.73000000,10084.86000000,10.03281300,1566521039999,101127.91348162,209,7.70227700,77634.90125318,0
1566521040000,10083.41000000,10087.06000000,10083.41000000,10086.17000000,13.04260200,1566521099999,131549.78211494,164,9.89435000,99798.72865087,0
1566521100000,10085.46000000,10088.13000000,10076.68000000,10078.36000000,66.77447000,1566521159999,673580.96411946,254,59.15522300,596741.22539456,0
1566521160000,10080.47000000,10080.47000000,10073.00000000,10079.30000000,12.61111200,1566521219999,127062.59119684,212,7.86312500,79227.74983363,0
1566521220000,10079.97000000,10082.94000000,10074.00000000,10079.46000000,10.41034900,1566521279999,104912.01302841,175,6.20190800,62498.71837801,0
1566521280000,10079.43000000,10095.03000000,10078.45000000,10089.17000000,21.01830000,1566521339999,211999.10433095,279,18.49307500,186533.02144890,0
1566521340000,10091.86000000,10097.90000000,10087.76000000,10091.64000000,13.23351000,1566521399999,133567.60390561,246,10.68039800,107800.07625244,0
1566521400000,10091.64000000,10120.00000000,10090.24000000,10102.43000000,49.63772300,1566521459999,501632.27371718,676,27.63634900,279342.25625354,0
1566521460000,10102.49000000,10111.37000000,10102.49000000,10103.20000000,23.72365500,1566521519999,239759.92785011,240,14.40990200,145637.32476168,0
1566521520000,10103.60000000,10110.00000000,10102.59000000,10109.83000000,8.56598200,1566521579999,86582.83785273,144,5.61036800,56711.28259938,0
