Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1551052800000,3743.56000000,3748.24000000,3740.00000000,3744.08000000,51.89386200,1551052859999,194201.33281404,363,20.58575200,77041.32494935,0
1551052860000,3745.28000000,3748.56000000,3742.73000000,3747.23000000,75.26275100,1551052919999,281913.35346603,819,32.75770700,122734.24042943,0
1551052920000,3747.25000000,3759.78000000,3747.25000000,3752.12000000,64.25499100,1551052979999,241212.19198060,494,36.02695000,135247.11573045,0
1551052980000,3752.10000000,3759.77000000,3750.91000000,3758.75000000,40.20438100,1551053039999,150973.02359806,351,19.02443800,71446.72096661,0
1551053040000,3756.64000000,3768.97000000,3756.64000000,3761.68000000,63.68979600,1551053099999,239749.17383221,450,32.85427000,123683.38177388,0
1551053100000,3760.48000000,3769.29000000,3759.20000000,3763.02000000,38.82065300,1551053159999,146180.07467263,309,23.34132900,87909.46531894,0
1551053160000,3762.95000000,3767.35000000,3761.47000000,3766.09000000,27.51864800,1551053219999,103598.78326726,169,17.43621800,65646.08968494,0
1551053220000,3766.09000000,3766.09000000,3754.56000000,3763.58000000,48.53436600,1551053279999,182506.03336841,258,24.17650600,90905.13703947,0
1551053280000,3764.25000000,3764.94000000,3757.16000000,3761.95000000,47.31101700,1551053339999,177910.92708638,278,16.73049400,62936.31407139,0
1551053340000,3761.96000000,3768.29000000,3761.96000000,3768.29000000,36.08164600,1551053399999,135875.92287650,173,29.30861400,110372.11645262,0
1551053400000,3768.29000000,3768.29000000,3762.51000000,3763.98000000,28.46396600,1551053459999,107181.58896156,161,12.66749100,47710.43597846,0
1551053460000,3764.00000000,3766.47000000,3757.38000000,3760.60000000,26.72764400,1551053519999,100549.52370319,222,17.03528100,64086.09793788,0
1551053520000,3759.47000000,3762.56000000,3758.00000000,3759.93000000,29.36991300,1551053579999,110430.51615893,189,11.49735900,43232.48240979,0
1551053580000,3759.93000000,3763.01000000,3758.01000000,3762.00000000,17.36701400,1551053639999,65293.45940392,202,13.89217300,52231.61555475,0
1551053640000,3762.00000000,3764.70000000,3759.58000000,3761.63000000,21.70963300,1551053699999,81677.17226132,184,14.14026100,53203.54796679,0
1551053700000,3761.09000000,3762.98000000,3758.06000000,3758.41000000,12.21286700,1551053759999,45921.98562786,153,5.61192800,21102.26316840,0
1551053760000,3759.36000000,3761.19000000,3758.00000000,3758.38000000,13.32916000,1551053819999,50106.74832817,157,6.56921800,24696.00376609,0
1551053820000,3758.55000000,3758.97000000,3755.00000000,3755.90000000,15.77419400,1551053879999,59269.16796089,135,6.46811400,24304.77787092,0
1551053880000,3755.00000000,3756.20000000,3751.99000000,3753.71000000,19.57102500,1551053939999,73479.07475080,128,10.71675200,40237.69354476,0
1551053940000,3754.73000000,3757.81000000,3753.83000000,3756.03000000,17.20872600,1551053999999,64640.87638362,103,6.64749300,24968.30691846,0
1551054000000,3757.00000000,3758.98000000,3756.04000000,3758.24000000,23.30551700,1551054059999,87581.28522493,188,12.66952900,47614.13928961,0
1551054060000,3758.96000000,3764.34000000,3758.96000000,3762.10000000,14.52832300,1551054119999,54643.68211689,145,9.34582300,35147.56923380,0
1551054120000,3762.93000000,3767.52000000,3760.18000000,3762.68000000,30.95039300,1551054179999,116491.07159822,190,20.09242600,75633.70307259,0
1551054180000,3762.68000000,3765.81000000,3760.60000000,3764.71000000,28.75358100,1551054239999,108240.49128668,157,23.57441600,88750.88827348,0
1551054240000,3764.70000000,3766.33000000,3764.00000000,3764.46000000,26.78868000,1551054299999,100852.88663915,141,19.64471900,73961.33938348,0
1551054300000,3764.31000000,3768.68000000,3763.64000000,3763.84000000,53.42012200,1551054359999,201213.68704986,174,22.69458200,85476.79115334,0
1551054360000,3763.64000000,3766.30000000,3763.64000000,3765.43000000,9.39962400,1551054419999,35384.73231905,91,7.51415000,28287.18537043,0
1551054420000,3764.92000000,3766.88000000,3763.95000000,3766.24000000,8.95871800,1551054479999,33735.36706609,90,2.51103600,9455.64217495,0
1551054480000,3766.34000000,3766.83000000,3764.99000000,3766.76000000,6.85899100,1551054539999,25830.96768455,92,3.79048500,14275.55109742,0
1551054540000,3765.70000000,3766.84000000,3764.00000000,3764.70000000,7.33898000,1551054599999,27634.00843936,111,2.64925100,9975.30112103,0
1551054600000,3764.00000000,3764.70000000,3761.92000000,3763.90000000,39.94631500,1551054659999,150313.57928500,150,24.89688200,93680.77780037,0
1551054660000,3763.90000000,3766.35000000,3763.39000000,3764.85000000,10.46480300,1551054719999,39399.69358928,142,4.91897900,18519.22450044,0
1551054720000,3763.97000000,3765.31000000,3763.24000000,3765.11000000,18.77907000,1551054779999,70684.82186103,119,4.28375500,16126.67711705,0
1551054780000,3765.30000000,3768.71000000,3764.69000000,3767.78000000,13.03887300,1551054839999,49103.63744981,156,8.77378900,33043.00801627,0
1551054840000,3767.78000000,3768.91000000,3765.94000000,3768.58000000,23.79238500,1551054899999,89658.53581025,150,7.22079300,27210.84244237,0
1551054900000,3767.94000000,3771.08000000,3766.29000000,3770.69000000,32.36462700,1551054959999,121986.81180464,220,20.95484400,78984.07836220,0
1551054960000,3770.18000000,3772.42000000,3768.01000000,3768.01000000,16.18257400,1551055019999,61024.16816457,142,6.17984400,23307.01629322,0
1551055020000,3769.50000000,3771.00000000,3767.55000000,3770.72000000,8.14701300,1551055079999,30711.90527604,113,5.67592100,21397.79733016,0
1551055080000,3770.98000000,3771.13000000,3768.53000000,3770.36000000,11.68317900,1551055139999,44039.92080089,153,6.21381400,23424.98030767,0
1551055140000,3770.36000000,3775.66000000,3770.36000000,3775.09000000,13.32428800,1551055199999,50273.32281190,177,10.55531300,39827.60729294,0
1551055200000,3775.09000000,3775.66000000,3771.93000000,3773.06000000,23.69608500,1551055259999,89443.20945936,171,14.71313800,55541.81414640,0
1551055260000,3772.57000000,3773.35000000,3771.21000000,3772.63000000,14.84310800,1551055319999,55988.06291079,133,4.73526600,17862.00119471,0
1551055320000,3772.78000000,3776.60000000,3772.05000000,3772.86000000,25.69753900,1551055379999,97004.72637488,153,17.33286200,65431.16744547,0
1551055380000,3772.22000000,3775.54000000,3770.12000000,3774.72000000,25.98565300,1551055439999,98033.50198802,180,11.70184000,44161.86703710,0
1551055440000,3773.50000000,3774.69000000,3773.32000000,3774.12000000,7.01728700,1551055499999,26483.08223866,103,4.35358300,16430.69123123,0
1551055500000,3774.39000000,3780.94000000,3774.10000000,3780.94000000,97.51453600,1551055559999,368428.23110477,312,74.27769600,280671.72883734,0
1551055560000,3780.24000000,3782.46000000,3779.28000000,3781.89000000,41.19855800,1551055619999,155781.64424159,220,29.06907400,109923.19166113,0
1551055620000,3781.36000000,3782.07000000,3778.44000000,3778.99000000,11.22269300,1551055679999,42419.64744033,134,3.38658600,12801.71104774,0
1551055680000,3779.12000000,3779.20000000,3774.55000000,3774.55000000,11.43218200,1551055739999,43187.17611733,128,4.45080700,16813.99285632,0
1551055740000,3774.66000000,3776.03000000,3772.55000000,3772.61000000,8.84813100,1551055799999,33393.47014812,116,4.96018400,18720.85950497,0
1551055800000,3772.82000000,3773.40000000,3768.62000000,3772.35000000,25.20392600,1551055859999,95055.44458834,201,14.40745200,54339.42431090,0
