Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1538784000000,6635.65000000,6638.00000000,6629.67000000,6637.89000000,22.14696700,1538784059999,146960.39865870,121,17.75493200,117823.17334373,0
1538784060000,6637.89000000,6638.96000000,6637.17000000,6638.90000000,10.02097800,1538784119999,66524.11881096,79,8.78493800,58319.69819036,0
1538784120000,6637.99000000,6645.06000000,6637.99000000,6643.52000000,8.78380800,1538784179999,58334.76304661,90,6.86473500,45590.86780954,0
1538784180000,6643.52000000,6644.74000000,6641.00000000,6643.61000000,12.15268300,1538784239999,80733.36804885,80,7.27069400,48302.28983405,0
1538784240000,6643.60000000,6648.00000000,6643.50000000,6648.00000000,10.83994300,1538784299999,72044.48413409,108,8.06586900,53611.49131188,0
1538784300000,6646.07000000,6650.00000000,6646.07000000,6648.90000000,8.23227800,1538784359999,54738.05096811,144,5.36187400,35653.40328951,0
1538784360000,6648.91000000,6651.00000000,6644.37000000,6647.47000000,14.06954900,1538784419999,93533.65159399,105,4.21696000,28038.73044703,0
1538784420000,6645.01000000,6647.00000000,6640.82000000,6640.87000000,7.49816600,1538784479999,49807.03765455,92,2.69156600,17880.15663843,0
1538784480000,6642.98000000,6643.02000000,6640.87000000,6642.85000000,2.50694100,1538784539999,16652.66176727,66,1.62217100,10775.58276426,0
1538784540000,6642.94000000,6645.56000000,6642.00000000,6645.47000000,10.98831700,1538784599999,73009.00932954,93,8.88353300,59024.65136537,0
1538784600000,6645.47000000,6646.41000000,6645.47000000,6646.41000000,6.32061600,1538784659999,42005.66321071,98,2.16568200,14392.88589134,0
1538784660000,6646.41000000,6646.47000000,6645.81000000,6646.20000000,4.21555200,1538784719999,28017.52383485,82,2.46623100,16391.32674915,0
1538784720000,6646.20000000,6646.33000000,6645.91000000,6645.91000000,4.30112000,1538784779999,28585.16383925,49,1.93244200,12842.96877243,0
1538784780000,6645.91000000,6645.91000000,6645.30000000,6645.30000000,9.69267500,1538784839999,64414.94932722,48,3.36981100,22394.56037613,0
1538784840000,6645.30000000,6645.31000000,6640.02000000,6640.03000000,37.71052000,1538784899999,250509.25501316,86,23.02950200,152989.69785468,0
1538784900000,6642.00000000,6642.00000000,6635.65000000,6638.92000000,39.51844500,1538784959999,262388.11588781,95,33.30013300,221099.33438506,0
1538784960000,6637.67000000,6640.59000000,6635.65000000,6636.84000000,30.14850500,1538785019999,200105.16390187,67,24.43953500,162213.72741764,0
1538785020000,6639.21000000,6640.59000000,6638.11000000,6639.99000000,42.79836500,1538785079999,284159.71862796,77,39.46556500,262034.63604654,0
1538785080000,6638.54000000,6639.99000000,6638.00000000,6639.94000000,18.99222300,1538785139999,126098.05138866,64,17.54817900,116512.12287684,0
1538785140000,6639.04000000,6639.97000000,6639.04000000,6639.94000000,5.08610100,1538785199999,33771.45836034,52,3.52467900,23403.70996566,0
