Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1526774400000,8233.49000000,8233.51000000,8204.01000000,8209.10000000,25.69309000,1526774459999,211148.88138016,223,9.01755800,74132.41198066,0
1526774460000,8210.26000000,8220.00000000,8210.00000000,8214.16000000,14.14200900,1526774519999,116161.58751751,75,12.01974300,98736.44629074,0
1526774520000,8214.00000000,8238.10000000,8210.00000000,8227.62000000,49.25339200,1526774579999,405162.72030350,160,42.82753100,352315.51617779,0
1526774580000,8227.62000000,8228.51000000,8218.19000000,8227.87000000,5.35872400,1526774639999,44068.46942652,124,2.21773200,18247.79162267,0
1526774640000,8227.87000000,8234.80000000,8226.12000000,8234.44000000,6.25656500,1526774699999,51500.84713372,75,3.25844300,26829.72218376,0
1526774700000,8234.38000000,8234.39000000,8214.62000000,8226.96000000,6.73208700,1526774759999,55375.40010937,71,3.19193200,26272.45638070,0
1526774760000,8225.00000000,8225.00000000,8212.00000000,8224.96000000,6.67523000,1526774819999,54849.30526602,82,1.75811800,14456.41154403,0
1526774820000,8224.96000000,8224.97000000,8220.00000000,8221.00000000,2.33508200,1526774879999,19199.95730060,62,1.98506400,16322.68474466,0
1526774880000,8220.50000000,8221.00000000,8216.67000000,8216.67000000,18.63408100,1526774939999,153157.54477431,66,13.99036800,114991.98489832,0
1526774940000,8219.99000000,8219.99000000,8207.37000000,8216.67000000,19.01472900,1526774999999,156249.89811897,55,14.68135700,120647.37745956,0
1526775000000,8216.67000000,8218.90000000,8202.78000000,8213.71000000,6.54801900,1526775059999,53786.13088195,53,3.22958400,26538.44313888,0
1526775060000,8213.71000000,8221.00000000,8208.04000000,8213.70000000,5.92186200,1526775119999,48642.99543673,78,3.95952800,32527.07018573,0
1526775120000,8213.70000000,8221.82000000,8211.04000000,8217.87000000,5.54850000,1526775179999,45592.62298210,58,3.47563100,28562.84384812,0
1526775180000,8221.00000000,8225.00000000,8218.01000000,8220.60000000,8.87296400,1526775239999,72949.91273388,53,3.50508800,28815.19319628,0
