Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1522022400000,8470.14000000,8473.20000000,8458.43000000,8461.02000000,11.74717200,1522022459999,99460.12097299,97,5.50133200,46602.41811773,0
1522022460000,8465.88000000,8473.21000000,8461.05000000,8470.00000000,11.05571500,1522022519999,93608.64512952,92,4.35730200,36904.01136650,0
1522022520000,8468.00000000,8494.41000000,8468.00000000,8494.29000000,27.46213100,1522022579999,232902.75055163,187,25.62985000,217372.32961862,0
1522022580000,8494.27000000,8494.29000000,8482.00000000,8483.00000000,18.01506800,1522022639999,152876.31476715,132,5.77635600,49032.19210021,0
1522022640000,8486.69000000,8486.69000000,8465.03000000,8468.00000000,7.46879200,1522022699999,63276.68289037,125,3.38857100,28719.93601511,0
1522022700000,8462.30000000,8483.88000000,8462.30000000,8478.34000000,9.35966800,1522022759999,79328.04526007,128,1.89350700,16044.43211480,0
1522022760000,8478.34000000,8480.00000000,8465.10000000,8468.01000000,7.50090200,1522022819999,63556.02222040,101,4.20295300,35616.47164038,0
1522022820000,8470.01000000,8474.99000000,8470.01000000,8474.99000000,3.19289900,1522022879999,27049.35013915,35,2.42158600,20515.16724826,0
1522022880000,8475.00000000,8480.00000000,8471.70000000,8476.00000000,7.65674900,1522022939999,64922.60798130,79,3.80442000,32258.85511363,0
1522022940000,8478.00000000,8479.99000000,8475.70000000,8479.01000000,8.82479900,1522022999999,74812.56139417,44,5.16727700,43810.44381495,0
1522023000000,8479.01000000,8483.59000000,8464.97000000,8475.00000000,13.11677200,1522023059999,111210.20352470,113,7.56394600,64147.76525447,0
1522023060000,8475.00000000,8510.93000000,8464.53000000,8490.99000000,49.25785100,1522023119999,418360.12654616,273,43.37765400,368469.33603070,0
1522023120000,8490.99000000,8494.38000000,8485.00000000,8491.00000000,9.22014500,1522023179999,78273.43586477,86,6.56101600,55706.45891193,0
1522023180000,8485.01000000,8494.38000000,8483.01000000,8488.00000000,11.68052000,1522023239999,99170.99110132,57,7.60763400,64608.58336889,0
1522023240000,8488.03000000,8501.54000000,8488.01000000,8501.54000000,9.41955200,1522023299999,80016.39125625,104,4.42355000,37585.93167653,0
1522023300000,8500.13000000,8514.89000000,8490.00000000,8503.39000000,22.85007500,1522023359999,194329.00992233,237,8.75036300,74459.75112182,0
1522023360000,8500.16000000,8506.98000000,8488.02000000,8488.02000000,20.79899100,1522023419999,176711.19241674,101,9.70087800,82449.69064069,0
1522023420000,8489.98000000,8498.26000000,8483.99000000,8498.08000000,11.39007400,1522023479999,96709.63847139,69,6.94908300,59017.18788641,0
1522023480000,8498.08000000,8504.99000000,8490.17000000,8490.23000000,6.70842000,1522023539999,56997.84032411,78,4.41257800,37502.34370513,0
1522023540000,8490.23000000,8490.23000000,8464.01000000,8464.76000000,16.13326100,1522023599999,136853.50625146,138,3.64410800,30903.74940501,0
1522023600000,8465.11000000,8479.99000000,8465.00000000,8466.09000000,9.39585600,1522023659999,79579.74171674,168,5.04290300,42716.38653752,0
1522023660000,8466.09000000,8469.06000000,8462.33000000,8467.00000000,12.45330500,1522023719999,105441.75948514,139,3.48546200,29514.04274583,0
1522023720000,8465.00000000,8470.25000000,8462.35000000,8470.18000000,4.70983000,1522023779999,39874.10875894,88,3.49074000,29555.53900181,0
1522023780000,8463.02000000,8470.18000000,8436.30000000,8436.30000000,36.54399300,1522023839999,308773.77625360,502,8.21991400,69483.12883923,0
1522023840000,8436.41000000,8465.23000000,8436.40000000,8459.00000000,10.02734000,1522023899999,84772.70112034,131,6.35949900,53791.33446690,0
1522023900000,8456.03000000,8460.00000000,8447.00000000,8447.00000000,6.25811800,1522023959999,52880.19417815,100,2.58902200,21886.99001446,0
1522023960000,8447.02000000,8459.70000000,8447.02000000,8459.69000000,11.81837300,1522024019999,99910.86089383,105,8.67901700,73376.55244563,0
1522024020000,8459.69000000,8469.90000000,8459.69000000,8460.08000000,6.50909000,1522024079999,55075.46808470,100,4.39442400,37185.33047231,0
