Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1562889600000,11342.88000000,11346.15000000,11314.32000000,11318.75000000,29.59092400,1562889659999,335323.65473959,410,8.59831500,97470.30395240,0
1562889660000,11318.31000000,11320.33000000,11283.07000000,11289.22000000,84.51419100,1562889719999,955268.23950230,653,44.22233800,499737.43180466,0
1562889720000,11292.70000000,11294.67000000,11256.75000000,11288.69000000,73.03310700,1562889779999,823641.67653253,654,23.41799900,264129.76106120,0
1562889780000,11290.15000000,11293.75000000,11240.00000000,11253.98000000,56.11992200,1562889839999,632080.05227298,576,15.14858700,170666.76507099,0
1562889840000,11254.99000000,11257.68000000,11218.94000000,11254.95000000,81.00794900,1562889899999,910565.45717111,954,38.82524600,436511.26860093,0
1562889900000,11256.99000000,11265.40000000,11252.95000000,11259.97000000,34.61942700,1562889959999,389804.34885556,323,18.04021700,203169.18819672,0
1562889960000,11259.30000000,11271.89000000,11254.00000000,11258.35000000,53.96285600,1562890019999,607818.81958627,294,41.90636400,472063.62615487,0
1562890020000,11255.43000000,11265.20000000,11218.56000000,11231.89000000,33.39590300,1562890079999,375374.98145966,386,11.25839900,126594.63116867,0
1562890080000,11231.34000000,11253.37000000,11194.12000000,11200.10000000,128.09542100,1562890139999,1437117.28039965,841,75.73176900,850031.79902470,0
1562890140000,11205.65000000,11263.31000000,11201.18000000,11250.30000000,76.14335500,1562890199999,855139.73697108,604,48.83316000,548819.27746250,0
1562890200000,11251.17000000,11292.31000000,11246.33000000,11291.83000000,45.72956700,1562890259999,515243.06508764,545,29.75409100,335326.51334962,0
1562890260000,11289.29000000,11308.35000000,11275.47000000,11302.72000000,69.81650200,1562890319999,788576.17454362,699,27.44938500,310122.54996136,0
1562890320000,11300.00000000,11326.40000000,11288.85000000,11292.81000000,60.91437100,1562890379999,688775.63560672,465,33.54618900,379403.33795962,0
1562890380000,11292.81000000,11330.00000000,11290.46000000,11319.61000000,29.31738200,1562890439999,331762.39437340,413,16.66895100,188579.38718969,0
