Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1536883200000,6487.39000000,6492.22000000,6487.39000000,6487.83000000,12.78543500,1536883259999,82958.81580063,91,8.03130700,52116.14699802,0
1536883260000,6490.62000000,6500.00000000,6489.54000000,6498.34000000,25.88688200,1536883319999,168078.27284967,144,17.25976800,112071.84942727,0
1536883320000,6498.34000000,6501.24000000,6498.34000000,6498.49000000,42.36395300,1536883379999,275349.32456872,123,30.51625300,198345.62913194,0
1536883380000,6498.51000000,6500.00000000,6497.26000000,6498.44000000,58.33382300,1536883439999,379148.13515812,154,47.93618800,311569.70343269,0
1536883440000,6498.43000000,6499.90000000,6495.00000000,6497.99000000,23.66837400,1536883499999,153792.47967363,71,22.33757700,145147.89458176,0
1536883500000,6495.64000000,6497.99000000,6495.64000000,6496.01000000,29.62707300,1536883559999,192485.33705478,84,23.47949800,152546.58019067,0
1536883560000,6496.99000000,6500.00000000,6494.38000000,6495.02000000,11.76872000,1536883619999,76468.79612014,111,6.67148300,43357.39992908,0
1536883620000,6497.68000000,6500.49000000,6495.02000000,6500.00000000,14.04596600,1536883679999,91291.39031653,79,6.91897900,44967.95380431,0
1536883680000,6500.00000000,6500.46000000,6495.05000000,6497.63000000,20.47322000,1536883739999,133051.40101717,72,1.62176800,10537.63391256,0
1536883740000,6497.61000000,6497.61000000,6492.24000000,6493.16000000,19.56966000,1536883799999,127105.97486103,158,3.14471600,20426.96518373,0
1536883800000,6492.24000000,6493.75000000,6487.45000000,6490.78000000,9.49946600,1536883859999,61662.18088220,103,6.97984500,45307.30482058,0
1536883860000,6489.03000000,6490.73000000,6487.50000000,6490.53000000,3.11433500,1536883919999,20209.13962249,55,2.45618600,15939.01349694,0
1536883920000,6488.15000000,6490.69000000,6487.57000000,6490.51000000,1.84145800,1536883979999,11950.24477030,46,1.00627100,6531.11748528,0
1536883980000,6488.34000000,6493.99000000,6488.34000000,6492.11000000,5.74978000,1536884039999,37324.91865932,102,4.65964100,30247.56560105,0
1536884040000,6492.93000000,6495.09000000,6492.11000000,6494.95000000,11.23725800,1536884099999,72979.69299612,107,9.04741100,58760.29496643,0
1536884100000,6494.95000000,6494.95000000,6492.15000000,6492.31000000,1.82477000,1536884159999,11847.87824515,49,0.50600700,3286.04450512,0
1536884160000,6492.31000000,6494.27000000,6492.11000000,6493.95000000,5.69271400,1536884219999,36958.90546865,89,1.95308500,12680.70287136,0
1536884220000,6492.17000000,6495.09000000,6490.01000000,6495.09000000,17.37432200,1536884279999,112827.58809197,54,13.81508500,89725.67827800,0
1536884280000,6492.87000000,6495.09000000,6483.96000000,6490.03000000,28.83733400,1536884339999,187189.09968082,107,11.88472500,77182.55562832,0
1536884340000,6490.03000000,6494.43000000,6487.28000000,6490.12000000,6.69506100,1536884399999,43460.71488605,57,5.87532800,38140.48038953,0
1536884400000,6493.09000000,6493.13000000,6490.14000000,6492.23000000,3.31097700,1536884459999,21495.26205488,26,2.83630500,18414.09148507,0
1536884460000,6492.23000000,6493.12000000,6490.44000000,6492.23000000,3.83427100,1536884519999,24892.82112346,72,3.27314100,21250.00974945,0
1536884520000,6492.65000000,6493.06000000,6483.56000000,6483.81000000,9.59546200,1536884579999,62251.92892320,53,3.65223500,23709.70303229,0
1536884580000,6489.22000000,6489.22000000,6483.81000000,6483.98000000,5.32137200,1536884639999,34515.89269494,61,3.68765700,23923.02556870,0
1536884640000,6483.98000000,6487.03000000,6480.50000000,6483.99000000,44.16143900,1536884699999,286223.30635367,102,39.98647000,259155.49657999,0
1536884700000,6482.37000000,6482.37000000,6475.72000000,6477.61000000,16.98127300,1536884759999,110005.55075602,177,4.60552400,29834.88748745,0
1536884760000,6478.90000000,6480.38000000,6474.88000000,6474.88000000,18.41227200,1536884819999,119241.73702086,159,3.84425100,24901.98309320,0
1536884820000,6474.88000000,6475.36000000,6463.68000000,6468.08000000,51.81268600,1536884879999,335278.95639934,330,13.43897000,86923.28721834,0
1536884880000,6468.11000000,6472.00000000,6463.57000000,6463.57000000,11.88575300,1536884939999,76859.51682104,148,3.65879600,23661.67952895,0
1536884940000,6463.01000000,6465.00000000,6457.97000000,6463.67000000,39.30594200,1536884999999,253915.57390117,218,15.40123800,99511.64232307,0
1536885000000,6463.70000000,6472.32000000,6462.32000000,6470.00000000,30.67844900,1536885059999,198423.45679038,192,12.13973300,78511.89102933,0
1536885060000,6470.99000000,6470.99000000,6457.97000000,6457.97000000,21.64430300,1536885119999,139869.87996080,119,8.73671100,56470.84147778,0
1536885120000,6457.98000000,6467.79000000,6454.68000000,6466.74000000,46.17665900,1536885179999,298115.46172480,178,28.38261900,183241.30395530,0
1536885180000,6466.62000000,6469.82000000,6462.05000000,6468.97000000,11.16112100,1536885239999,72179.12835091,114,5.25744000,34005.52657321,0
1536885240000,6468.91000000,6468.97000000,6456.36000000,6464.27000000,17.00367600,1536885299999,109896.14552046,90,7.36845100,47630.25884251,0
1536885300000,6462.12000000,6464.93000000,6458.95000000,6463.48000000,22.35192100,1536885359999,144451.72750251,113,17.02018600,110000.84685068,0
1536885360000,6463.39000000,6463.64000000,6459.00000000,6461.01000000,14.93878500,1536885419999,96541.23053286,86,8.65304200,55923.39436506,0
1536885420000,6461.01000000,6472.38000000,6461.00000000,6469.13000000,43.30425800,1536885479999,280023.24336933,220,17.70566100,114498.64010193,0
1536885480000,6472.37000000,6473.09000000,6470.72000000,6472.99000000,13.83980500,1536885539999,89565.25971850,85,9.59284100,62083.69498870,0
1536885540000,6473.03000000,6474.01000000,6471.48000000,6471.48000000,7.60315500,1536885599999,49215.46920865,100,2.00171500,12957.54508234,0
1536885600000,6471.48000000,6472.23000000,6465.00000000,6465.00000000,7.52157600,1536885659999,48660.48553363,82,0.82483700,5336.83313973,0
