Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1540684800000,6505.60000000,6506.82000000,6501.50000000,6504.57000000,4.38267900,1540684859999,28502.93288603,82,2.01499500,13107.54929398,0
1540684860000,6504.57000000,6506.67000000,6503.77000000,6504.48000000,1.07029000,1540684919999,6961.91952524,55,0.43949200,2858.97827496,0
1540684920000,6504.98000000,6506.74000000,6504.48000000,6506.69000000,1.14193500,1540684979999,7429.31162490,39,0.77685100,5054.58251966,0
1540684980000,6506.69000000,6506.84000000,6505.00000000,6506.73000000,2.94679600,1540685039999,19171.77795418,62,1.44995600,9432.50725856,0
1540685040000,6505.07000000,6506.71000000,6503.47000000,6506.00000000,2.72169800,1540685099999,17704.83717144,43,0.98783600,6426.67766818,0
1540685100000,6506.29000000,6506.30000000,6505.12000000,6506.27000000,2.26478200,1540685159999,14734.61024425,28,0.90046500,5858.10070117,0
1540685160000,6505.80000000,6506.32000000,6505.80000000,6505.92000000,13.93165300,1540685219999,90638.90032750,55,13.46623300,87610.82347576,0
1540685220000,6505.86000000,6505.92000000,6504.88000000,6505.89000000,1.73913900,1540685279999,11314.19799101,40,0.67275100,4376.75070020,0
1540685280000,6505.64000000,6505.92000000,6504.50000000,6504.50000000,1.53170300,1540685339999,9964.99952792,38,1.01240100,6586.53747477,0
1540685340000,6505.82000000,6505.82000000,6503.55000000,6504.41000000,1.24748500,1540685399999,8114.42804040,37,0.83266000,5416.07532761,0
1540685400000,6504.41000000,6504.50000000,6503.51000000,6504.00000000,3.51211700,1540685459999,22843.32220979,61,2.15528500,14018.74997357,0
1540685460000,6503.54000000,6504.43000000,6501.57000000,6504.43000000,2.20654800,1540685519999,14349.43497623,58,1.06464700,6923.83983201,0
1540685520000,6503.41000000,6505.92000000,6503.41000000,6504.38000000,3.76052800,1540685579999,24463.10029759,26,3.45278200,22461.42009366,0
1540685580000,6504.41000000,6505.81000000,6503.46000000,6504.21000000,1.54936000,1540685639999,10078.45131850,27,1.26171100,8207.61184925,0
1540685640000,6504.19000000,6504.46000000,6504.19000000,6504.39000000,1.53197100,1540685699999,9964.57788608,42,0.83112900,5406.02013845,0
1540685700000,6504.42000000,6505.81000000,6503.46000000,6503.46000000,2.65956900,1540685759999,17299.71986356,65,1.39763900,9091.39030995,0
1540685760000,6503.46000000,6503.73000000,6501.50000000,6501.52000000,1.83580000,1540685819999,11936.98972576,55,0.43036900,2798.43837730,0
1540685820000,6501.51000000,6502.01000000,6501.09000000,6502.01000000,2.08828600,1540685879999,13576.90389579,31,1.07210600,6970.42730076,0
1540685880000,6502.00000000,6503.33000000,6501.09000000,6502.01000000,2.25063100,1540685939999,14633.33845191,42,0.33473500,2176.41373567,0
1540685940000,6502.01000000,6502.01000000,6501.09000000,6501.10000000,2.86682500,1540685999999,18639.33005067,37,1.08896100,7080.29506783,0
1540686000000,6501.10000000,6501.88000000,6500.00000000,6500.55000000,2.73821400,1540686059999,17800.42124857,37,0.32576300,2117.99755595,0
1540686060000,6501.14000000,6501.14000000,6500.01000000,6500.27000000,1.38489800,1540686119999,9002.17796421,46,0.29834200,1939.32135620,0
1540686120000,6500.27000000,6501.61000000,6500.00000000,6500.05000000,3.68023300,1540686179999,23923.35506376,39,2.66032200,17293.89909646,0
1540686180000,6501.50000000,6501.50000000,6500.04000000,6500.04000000,2.90806800,1540686239999,18903.74714845,45,0.45522700,2959.51723967,0
1540686240000,6500.04000000,6501.12000000,6500.04000000,6501.05000000,1.47695000,1540686299999,9601.55419315,44,1.08326300,7042.25485914,0
1540686300000,6501.04000000,6501.53000000,6500.00000000,6500.00000000,4.56491500,1540686359999,29673.05288633,54,0.50042100,3253.28744380,0
1540686360000,6501.00000000,6501.00000000,6500.00000000,6500.45000000,2.26723100,1540686419999,14737.45474687,44,0.42787900,2781.44980647,0
1540686420000,6500.51000000,6500.51000000,6500.45000000,6500.45000000,1.24272200,1540686479999,8078.27810351,44,0.98195600,6383.17964185,0
1540686480000,6500.45000000,6500.51000000,6500.00000000,6500.28000000,1.48770600,1540686539999,9670.66755926,31,0.68430100,4448.29979832,0
1540686540000,6500.51000000,6500.51000000,6498.46000000,6500.12000000,2.47176100,1540686599999,16065.96632708,33,0.05216600,339.09329725,0
1540686600000,6498.52000000,6500.12000000,6497.00000000,6497.00000000,3.88287800,1540686659999,25229.83230468,57,2.09831400,13634.95855758,0
1540686660000,6499.28000000,6499.28000000,6496.72000000,6498.82000000,0.76773700,1540686719999,4988.08476356,35,0.13831900,898.77541015,0
1540686720000,6497.88000000,6500.00000000,6496.74000000,6500.00000000,1.15419000,1540686779999,7500.31310181,36,0.75878100,4931.26947900,0
1540686780000,6499.51000000,6501.67000000,6498.55000000,6500.00000000,1.32166900,1540686839999,8591.13232752,46,0.57931600,3765.92171250,0
1540686840000,6500.01000000,6501.62000000,6500.01000000,6501.00000000,1.52824700,1540686899999,9934.25481061,37,1.01501100,6598.13604741,0
1540686900000,6501.62000000,6501.72000000,6501.00000000,6501.05000000,1.65194300,1540686959999,10740.28127279,71,0.84443800,5490.16659924,0
