Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1531526400000,6214.57000000,6218.88000000,6211.29000000,6218.88000000,8.64929400,1531526459999,53746.84855503,78,6.69345200,41596.01140969,0
1531526460000,6218.87000000,6218.88000000,6214.00000000,6218.49000000,3.34975000,1531526519999,20822.77883171,53,1.53265300,9529.50016655,0
1531526520000,6218.47000000,6220.00000000,6217.58000000,6219.33000000,2.66567200,1531526579999,16575.50421471,43,0.75660200,4705.38784981,0
1531526580000,6219.87000000,6220.83000000,6219.33000000,6220.83000000,3.48447000,1531526639999,21673.26137118,54,1.73443400,10788.77753413,0
1531526640000,6220.84000000,6227.63000000,6220.84000000,6221.00000000,21.29009200,1531526699999,132509.59315782,75,11.16735800,69509.60225138,0
1531526700000,6224.29000000,6226.34000000,6219.68000000,6219.68000000,7.71541900,1531526759999,48008.55113597,84,4.24354500,26408.58661755,0
1531526760000,6219.68000000,6224.61000000,6219.51000000,6223.95000000,17.04753800,1531526819999,106033.46425330,33,16.53696500,102857.59207693,0
1531526820000,6223.95000000,6223.95000000,6220.75000000,6223.94000000,3.94874500,1531526879999,24570.52922536,34,1.38490500,8619.50112578,0
1531526880000,6223.94000000,6227.99000000,6219.96000000,6224.02000000,8.06739300,1531526939999,50210.02481559,64,6.85918200,42691.28457158,0
1531526940000,6224.02000000,6228.60000000,6224.00000000,6228.57000000,3.57885600,1531526999999,22279.21507071,72,1.31236600,8172.01118873,0
1531527000000,6224.56000000,6228.54000000,6224.56000000,6227.73000000,6.67773700,1531527059999,41584.39482852,66,5.00002500,31140.78860612,0
1531527060000,6225.11000000,6227.73000000,6224.09000000,6225.00000000,3.05219700,1531527119999,19001.43542961,48,0.26638500,1658.43291454,0
1531527120000,6225.00000000,6227.09000000,6216.90000000,6224.55000000,21.96649200,1531527179999,136662.09463399,142,9.17819100,57118.76617364,0
1531527180000,6224.55000000,6228.00000000,6224.55000000,6226.51000000,12.18995700,1531527239999,75903.92327174,41,9.99023900,62210.45930063,0
1531527240000,6226.52000000,6257.50000000,6226.51000000,6253.16000000,47.72122100,1531527299999,298001.25349048,444,31.53620000,196936.12275689,0
1531527300000,6253.59000000,6256.30000000,6237.75000000,6247.78000000,104.47013400,1531527359999,652438.92192210,291,54.28503500,338820.78954916,0
1531527360000,6247.78000000,6247.81000000,6236.35000000,6236.58000000,15.74094400,1531527419999,98314.34755370,132,2.84129900,17742.55898977,0
1531527420000,6237.61000000,6244.88000000,6237.41000000,6242.37000000,5.95816000,1531527479999,37178.64165000,41,4.80880100,30005.90120444,0
1531527480000,6242.33000000,6245.60000000,6239.17000000,6239.20000000,3.43681300,1531527539999,21451.03392074,59,1.04658500,6534.96340864,0
